session_id,repo_id,agent,turn_count,prompt_count
f76a52b4-3671-4a88-88a7-f059cb73cb1f,osabiohq/osabio,Claude Code,4.0,2
0da184be-b128-475f-a3fd-61555f0ae9b7,osabiohq/osabio,Claude Code,2.0,1
b2fed439-f101-43f3-98f5-76aeb201af1d,marcus-sa/brain,Claude Code,2.0,1
575d0a3b-f615-45c5-a0c5-fc246e13ec41,osabiohq/osabio,Claude Code,6.0,3
dbdd0602-50e5-4626-8b59-404114088b43,marcus-sa/brain,Claude Code,48.0,21
51fb9c4e-9986-42d4-9a35-6e30e6a2cdb7,osabiohq/osabio,Claude Code,12.0,5
7c94e08d-c64a-4658-8938-ba4bc8aab78d,marcus-sa/brain,Claude Code,10.0,5
219f74ed-154b-4ee7-903f-894707bf598a,marcus-sa/brain,Claude Code,4.0,2
6aad9269-c63c-47a4-a7df-9e1d0f626af9,osabiohq/osabio,Claude Code,10.0,5
afd88dd1-4f7f-405d-8aa9-ca7e355b00ac,osabiohq/osabio,Claude Code,28.0,13
e17f2c88-38c8-40a0-8933-64ed42e74692,osabiohq/osabio,Claude Code,30.0,16
3676dc30-16c0-42d1-ba69-8eb0c01dccd0,osabiohq/osabio,Claude Code,2.0,1
da17ba95-666c-4181-ab52-ac0a8c592153,osabiohq/osabio,Claude Code,4.0,1
78b012d7-c5ca-4061-8f66-fb030f9c341f,marcus-sa/brain,Claude Code,9.0,5
f9ea4e92-b652-4f3a-8a86-ffccdef63899,osabiohq/osabio,Claude Code,6.0,3
349a6fcd-0761-4f7e-bcb7-9a587bb2a398,marcus-sa/brain,Claude Code,6.0,3
3795144a-47cc-4514-be6d-9bd348d5f646,osabiohq/osabio,Claude Code,10.0,6
572fd9e5-7dd9-45f9-a1e5-db2bdf0b09bc,osabiohq/osabio,Claude Code,4.0,2
822659a8-7ef8-4e2e-98cd-34de32f2fcd0,osabiohq/osabio,Claude Code,2.0,1
8619b0bf-94e8-4702-834d-4209dd770466,osabiohq/osabio,Claude Code,44.0,24
6623cbbe-5484-43a2-8139-3d57523a8520,marcus-sa/brain,Claude Code,2.0,1
b6aa8d41-2111-4c23-98a9-973bd30dca7e,osabiohq/osabio,Claude Code,8.0,4
424e31e2-b693-4e14-9f0b-019fb104bd76,marcus-sa/brain,Claude Code,61.0,33
36fec4c2-dc04-463a-a5ba-e0bbf03de65b,marcus-sa/brain,Claude Code,8.0,4
8cf0a3bc-25c7-471c-a139-c21001c1d59d,marcus-sa/brain,Claude Code,5.0,3
d0b82d0c-f608-4a25-9fd5-3867dc507a98,marcus-sa/brain,Claude Code,5.0,2
db7e48c3-8464-492e-97ae-8fb36f0c5a37,marcus-sa/brain,Claude Code,14.0,6
6ed8afd4-caa8-4353-95bd-332ac5437be4,marcus-sa/brain,Claude Code,51.0,24
f3cd0a48-aacb-4615-b59d-ecc4fc6a1c46,marcus-sa/brain,Claude Code,16.0,7
35471815-9bc4-42af-95a8-56ef478cdf1f,osabiohq/osabio,Claude Code,2.0,1
934e9ca8-2d29-413f-8656-e627dfed0be3,marcus-sa/brain,Claude Code,2.0,1
607cd983-b821-49ed-b756-c9fa5e8d9f34,marcus-sa/brain,Claude Code,10.0,5
8ec32f40-b2f7-4ac1-9bb6-62cc21883aae,marcus-sa/brain,Claude Code,1.0,1
ac7765b2-848e-4d91-8535-2caafbf3d5ba,marcus-sa/brain,Claude Code,1.0,1
1b167886-0664-4967-9fd8-8e53cd4b0cf4,marcus-sa/brain,Claude Code,2.0,1
77dd9d1c-c69c-43c9-a35d-97ec216af5d3,marcus-sa/brain,Claude Code,34.0,15
0231b231-5179-4439-bf3d-41040b1544f6,marcus-sa/brain,Claude Code,27.0,11
548ca6c9-8bdc-417f-bd2d-26a5763cf9e2,osabiohq/osabio,Claude Code,5.0,2
dc6c015a-41c6-4540-bcae-15eed0489414,marcus-sa/brain,Claude Code,2.0,1
700c6428-ebf1-449a-8a9f-361441a014a5,osabiohq/osabio,Claude Code,2.0,1
9661b2fb-5bb6-4602-a5b3-815c84e4820a,osabiohq/osabio,Claude Code,23.0,13
73aed78a-aa20-4ae1-897a-cbc055f24110,marcus-sa/brain,Claude Code,14.0,9
1afc8f43-9f29-4569-a778-9e04d6190b16,osabiohq/osabio,Claude Code,4.0,2
dc4c125d-52da-4cf6-8f5c-14500705728f,osabiohq/osabio,Claude Code,65.0,33
f5455122-7b63-47ac-b6cc-4e73de48845d,marcus-sa/brain,Claude Code,4.0,2
3ebc323a-c52d-4238-a3d4-88d29b3d77ae,osabiohq/osabio,Claude Code,14.0,7
982ec66f-03da-422e-a4f5-61d0f12fba7d,marcus-sa/brain,Claude Code,8.0,4
3b4420c1-e3af-48e0-b8d5-50c3374d20be,osabiohq/osabio,Claude Code,88.0,41
a0717f39-ded3-4f50-a0fd-b5fd2a1799ea,marcus-sa/brain,Claude Code,45.0,22
ae63fcc9-934d-4a71-9b04-62cc7f4a81a0,marcus-sa/brain,Claude Code,4.0,2
da3d669b-7539-4f71-b6f3-08dc93cd5e91,marcus-sa/brain,Claude Code,2.0,1
84ac58d9-5765-484b-baa9-eaf888eba45b,marcus-sa/brain,Claude Code,2.0,1
b236f908-d56c-4869-9cfd-31bb55382f2b,osabiohq/osabio,Claude Code,2.0,1
1b703986-64d8-4b9f-b65a-a4f0177e8d38,osabiohq/osabio,Claude Code,3.0,2
26957750-8027-48be-a08a-93234b4ee009,marcus-sa/brain,Claude Code,19.0,8
a286ace3-000e-41c2-bdd6-671359b7c3a6,osabiohq/osabio,Claude Code,6.0,3
ec85bdf2-8811-4664-8786-b482c76c4c5e,osabiohq/osabio,Claude Code,10.0,5
2f5a0790-ee9f-4808-82d7-134cbf2fedfc,osabiohq/osabio,Claude Code,10.0,6
a4bdbd0e-1577-4fb7-9bca-b8d0ab440c12,osabiohq/osabio,Claude Code,16.0,8
27ff5757-8d43-4f07-832e-2826a768c87e,marcus-sa/brain,Claude Code,4.0,2
44678d28-020a-48d4-bb2a-c62df401efcb,marcus-sa/brain,Claude Code,24.0,12
9248301a-5595-4d31-8965-68ef410de62e,marcus-sa/brain,Claude Code,54.0,27
2a924965-d40c-40a2-a374-d9a6d93ecee4,osabiohq/osabio,Claude Code,4.0,2
8042db30-1a82-49c2-919f-e846b66fda46,marcus-sa/brain,Claude Code,20.0,9
ddb216ba-5d09-431e-805c-7c01b6dd89ea,marcus-sa/brain,Claude Code,33.0,14
7ada1d1a-292b-4e55-aa5d-4376df61cd13,marcus-sa/brain,Claude Code,32.0,17
4a59a479-10b8-413f-b8e7-733600719628,marcus-sa/brain,Claude Code,2.0,1
1cd8ed20-2cad-4b62-99a1-53ab08249625,marcus-sa/brain,Claude Code,6.0,3
a36ff8d8-7068-49a1-9b92-feaf389f510b,marcus-sa/brain,Claude Code,1.0,1
e68f4869-26d3-4000-92be-a53718f2de0a,marcus-sa/brain,Claude Code,1.0,1
cd9d3c7e-9aaf-48c1-8259-83a321de2238,marcus-sa/brain,Claude Code,1.0,1
4a952824-e6d8-4208-81c0-5577e051575f,osabiohq/osabio,Claude Code,2.0,1
a45a4116-7e18-44ea-b4ea-00f08a75ffc0,osabiohq/osabio,Claude Code,2.0,1
b47b9afc-1f96-485f-a173-019b6da28152,osabiohq/osabio,Claude Code,9.0,6
fb62e1ea-76ee-4646-ad41-9244c16d404a,osabiohq/osabio,Claude Code,16.0,9
ce539a48-bc17-4383-bd9d-9ad7151eb645,osabiohq/osabio,Claude Code,28.0,12
21b0ea3d-5ddf-4509-9d6a-fcf30f4273a9,marcus-sa/brain,Claude Code,4.0,2
37796e37-62be-4b11-9f1a-777572f1c87d,marcus-sa/brain,Claude Code,29.0,16
65f554b9-a577-4e0a-a2d5-f1e9d36dc59a,marcus-sa/brain,Claude Code,4.0,2
c36cede4-5451-4c27-8fc3-1de343a0c337,marcus-sa/brain,Claude Code,24.0,12
ff7b3553-d568-43bf-a876-9f5fe61247e8,osabiohq/osabio,Claude Code,37.0,19
ad70aee4-d8b7-47c8-b7ee-f81a17181cdb,marcus-sa/brain,Claude Code,8.0,4
6cd499c2-3377-484f-acbc-f795d066075d,marcus-sa/brain,Claude Code,2.0,1
e457d685-f9e8-463a-85ce-5270a18afa2c,marcus-sa/brain,Claude Code,2.0,1
4588eb5b-9e44-4453-9686-c68728cdb681,marcus-sa/brain,Claude Code,76.0,38
ee381991-191b-48c5-8285-6479881530af,osabiohq/osabio,Claude Code,26.0,13
4367354f-995e-4a6a-b3c3-a73060bd4c71,marcus-sa/brain,Claude Code,51.0,23
2409fcfc-e323-4c68-aaf4-5721a1e2568e,osabiohq/osabio,Claude Code,36.0,19
d5fc7805-bf8c-4afa-a6be-3d773357814c,osabiohq/osabio,Claude Code,2.0,1
b4abaef2-a0ff-484a-b771-a5a416ab50a3,osabiohq/osabio,Claude Code,5.0,3
ef826148-75dd-4ed3-9237-a12e48b10319,marcus-sa/brain,Claude Code,2.0,1
85b94721-2106-4564-a946-a32c30fe651d,marcus-sa/brain,Claude Code,32.0,15
a0c1bbf0-0456-4a9e-80bb-96670da0449c,marcus-sa/brain,Claude Code,39.0,19
db43942e-7fbf-4411-a06c-6b94846c2e5a,osabiohq/osabio,Claude Code,7.0,3
0f4e3e43-8c53-4c2d-97b1-196014f36c5e,marcus-sa/brain,Claude Code,11.0,6
13011cdd-cb58-41bc-a6fb-86603a07dd84,osabiohq/osabio,Claude Code,16.0,8
c06e3cdc-1035-4c67-b75c-7952ffc1e7b0,osabiohq/osabio,Claude Code,4.0,2
02bf0eec-e39b-4d26-876b-22a2af646441,marcus-sa/brain,Claude Code,13.0,7
449df0b2-b46f-4385-a720-96668b9fa042,marcus-sa/brain,Claude Code,2.0,1
91bbf448-12de-4210-ab4e-378e0f290048,osabiohq/osabio,Claude Code,2.0,1
a2b06541-9b3d-4960-a743-5ca6b55a5e0f,marcus-sa/brain,Claude Code,19.0,12
e68e4b3f-0e24-42dc-afa1-b7467e4d25f8,marcus-sa/brain,Claude Code,2.0,1
953ed130-117b-4499-8d38-6b4934c0f8b3,marcus-sa/brain,Claude Code,2.0,1
bb285c93-88bd-4339-b06c-4ed3d2a13287,marcus-sa/brain,Claude Code,1.0,1
0a816a13-3d6e-4691-bfdf-31ef5c4027b6,osabiohq/osabio,Claude Code,3.0,2
5accf971-6542-4c24-940e-3790534641ed,osabiohq/osabio,Claude Code,2.0,1
b4a96405-6b75-4173-9811-d942ef2e2e50,osabiohq/osabio,Claude Code,2.0,1
b9cf8566-0149-44f1-8dd8-68e71ae73dab,marcus-sa/brain,Claude Code,3.0,1
e9c79b29-c6d0-4af1-b112-6722ecc03464,osabiohq/osabio,Claude Code,32.0,14
ca5aa626-92fe-42eb-b741-19feb7ddbe36,marcus-sa/brain,Claude Code,3.0,2
383dac21-2e60-4b60-a5ae-e41473208f3d,marcus-sa/brain,Claude Code,4.0,2
93a489c3-e4e9-4f72-98f0-ee4bac728d98,marcus-sa/brain,Claude Code,1.0,1
a90ee0ae-8f0c-451b-9b90-9cfd4c0ebb87,osabiohq/osabio,Claude Code,16.0,9
37f426ff-2388-49e5-832f-418bddce4dbc,osabiohq/osabio,Claude Code,4.0,2
5e56eebb-17b8-4710-84ad-19a21487b660,marcus-sa/brain,Claude Code,44.0,25
6708830b-6b51-4f87-9014-0b87fa3310ec,osabiohq/osabio,Claude Code,14.0,7
07bd6e80-f099-4c82-8f89-27ec1c0d05cd,osabiohq/osabio,Claude Code,2.0,1
4fe2d1b4-c58a-41c0-ab00-82b86f5b9656,marcus-sa/brain,Claude Code,10.0,5
